event_date,attendance_count,num_games,num_draws,unique_players,games_per_player,draw_rate,source_type,source_note,new_players_count,returning_players_count,year,month,day_of_month,day_of_week,is_sunday,week_of_year,season,is_beginning_of_month,is_end_of_month,is_holiday_week,is_school_break,previous_event_attendance,attendance_two_events_ago,rolling_3_event_attendance,rolling_5_event_attendance,rolling_10_event_attendance,attendance_trend_last_3,attendance_trend_last_5,previous_event_num_games,previous_event_unique_players,previous_event_new_players_count,previous_event_returning_players_count,previous_event_draw_rate,previous_event_games_per_player,rolling_3_avg_num_games,rolling_3_avg_new_players,rolling_3_avg_returning_players,days_since_last_event,biweekly_event_indicator,weekly_event_indicator,back_to_back_event_indicator,first_event_after_long_break,previous_event_high_turnout,events_this_month_so_far,event_number_overall,event_number_in_year,high_turnout,_median_attendance_used
2025-10-19,12,25.0,0.0,12,2.0833333333333335,0.0,game_logs,,1,11,2025,10,19,6,1,42,fall,0,0,0,0,21.0,13.0,16.0,13.4,12.8,7.0,12.0,47.0,21.0,6.0,15.0,0.06382978723404255,2.238095238095238,47.0,3.6666666666666665,12.333333333333334,14.0,1,0,0,0,1,1,77,20,0,15.0
2025-11-02,13,29.0,1.0,13,2.230769230769231,0.034482758620689655,game_logs,,2,11,2025,11,2,6,1,44,fall,1,0,0,0,12.0,21.0,15.333333333333334,14.0,12.8,-1.0,2.0,25.0,12.0,1.0,11.0,0.0,2.0833333333333335,36.0,3.0,12.333333333333334,14.0,1,0,0,0,0,0,78,21,0,15.0
2025-11-16,12,28.0,1.0,12,2.3333333333333335,0.03571428571428571,game_logs,,1,11,2025,11,16,6,1,46,fall,0,0,0,0,13.0,12.0,15.333333333333334,14.6,13.1,-8.0,-1.0,29.0,13.0,2.0,11.0,0.034482758620689655,2.230769230769231,33.666666666666664,3.0,12.333333333333334,14.0,1,0,0,0,0,1,79,22,0,15.0
2025-11-30,18,37.0,0.0,18,2.0555555555555554,0.0,game_logs,,4,14,2025,11,30,6,1,48,fall,0,1,1,0,12.0,13.0,12.333333333333334,14.2,13.3,0.0,-1.0,28.0,12.0,1.0,11.0,0.03571428571428571,2.3333333333333335,27.333333333333332,1.3333333333333333,11.0,14.0,1,0,0,0,0,2,80,23,1,15.0
2025-12-14,17,34.0,1.0,17,2.0,0.029411764705882353,game_logs,,0,17,2025,12,14,6,1,50,winter,0,0,0,0,18.0,12.0,14.333333333333334,15.2,13.6,5.0,-3.0,37.0,18.0,4.0,14.0,0.0,2.0555555555555554,31.333333333333332,2.3333333333333335,12.0,14.0,1,0,0,0,1,0,81,24,1,15.0
2025-12-28,12,23.0,2.0,12,1.9166666666666667,0.08695652173913043,game_logs,,0,12,2025,12,28,6,1,52,winter,0,1,1,1,17.0,18.0,15.666666666666666,14.4,13.9,5.0,5.0,34.0,17.0,0.0,17.0,0.029411764705882353,2.0,33.0,1.6666666666666667,14.0,14.0,1,0,0,0,1,1,82,25,0,15.0
2026-01-11,14,31.0,3.0,14,2.2142857142857144,0.0967741935483871,game_logs,,0,14,2026,1,11,6,1,2,winter,0,0,0,0,12.0,17.0,15.666666666666666,14.4,14.2,-6.0,-1.0,23.0,12.0,0.0,12.0,0.08695652173913043,1.9166666666666667,31.333333333333332,1.3333333333333333,14.333333333333334,14.0,1,0,0,0,0,0,83,0,0,15.0
2026-01-25,18,35.0,0.0,18,1.9444444444444444,0.0,game_logs,,3,15,2026,1,25,6,1,4,winter,0,1,0,0,14.0,12.0,14.333333333333334,14.6,14.6,-3.0,2.0,31.0,14.0,0.0,14.0,0.0967741935483871,2.2142857142857144,29.333333333333332,0.0,14.333333333333334,14.0,1,0,0,0,0,1,84,1,1,15.0
2026-02-15,13,25.0,1.0,13,1.9230769230769231,0.04,game_logs,,0,13,2026,2,15,6,1,7,winter,0,0,1,0,18.0,14.0,14.666666666666666,15.8,15.0,6.0,0.0,35.0,18.0,3.0,15.0,0.0,1.9444444444444444,29.666666666666668,1.0,13.666666666666666,21.0,0,0,0,0,1,0,85,2,0,15.0
2026-03-01,17,37.0,0.0,17,2.176470588235294,0.0,game_logs,,1,16,2026,3,1,6,1,9,spring,1,0,0,0,13.0,18.0,15.0,14.8,15.0,-1.0,-4.0,25.0,13.0,0.0,13.0,0.04,1.9230769230769231,30.333333333333332,1.0,14.0,14.0,1,0,0,0,0,0,86,3,1,15.0
2026-03-22,14,31.0,1.0,14,2.2142857142857144,0.03225806451612903,game_logs,,1,13,2026,3,22,6,1,12,spring,0,0,0,0,17.0,13.0,16.0,14.8,14.6,-1.0,5.0,37.0,17.0,1.0,16.0,0.0,2.176470588235294,32.333333333333336,1.3333333333333333,14.666666666666666,21.0,0,0,0,0,1,1,87,4,0,15.0
2026-04-05,15,33.0,0.0,15,2.2,0.0,game_logs,,1,14,2026,4,5,6,1,14,spring,1,0,0,0,14.0,17.0,14.666666666666666,15.2,14.8,1.0,0.0,31.0,14.0,1.0,13.0,0.03225806451612903,2.2142857142857144,31.0,0.6666666666666666,14.0,14.0,1,0,0,0,0,0,88,5,1,15.0
